"group";"year";"week";"value"
"65P";2021;14;2377
"65P";2021;15;2277
"65P";2021;16;2892
"65P";2021;17;2466
"65P";2021;18;2949
"65P";2021;19;957
"65P";2021;20;31
"65P";2021;21;-458
"65P";2021;22;786
"65P";2021;23;209
"65P";2021;24;2342
"65P";2021;25;669
"65P";2021;26;1642
"65P";2021;27;1961
"65P";2021;28;2897
"65P";2021;29;5180
"65P";2021;30;4230
"65P";2021;31;5089
"65P";2021;32;6264
"65P";2021;33;5313
"65P";2021;34;3925
"65P";2021;35;4101
"65P";2021;36;6760
"65P";2021;37;3633
"65P";2021;38;2313
"65P";2021;39;3012
"65P";2021;40;2616
"65P";2021;41;3879
"65P";2021;42;4933
"65P";2021;43;6352
"65P";2021;44;5652
"65P";2021;45;7673
"65P";2021;46;7707
"65P";2021;47;7167
"65P";2021;48;3684
"85P";2019;0;0
"85P";2019;1;1830
"85P";2019;2;3173
"85P";2019;3;3246
"85P";2019;4;3415
"85P";2019;5;3610
"85P";2019;6;3718
"85P";2019;7;2664
"85P";2019;8;2819
"85P";2019;9;2659
"85P";2019;10;1366
"85P";2019;11;986
"85P";2019;12;-126
"85P";2019;13;-658
"85P";2019;14;169
"85P";2019;15;-487
"85P";2019;16;280
"85P";2019;17;576
"85P";2019;18;-82
"85P";2019;19;-41
"85P";2019;20;311
"85P";2019;21;368
"85P";2019;22;453
"85P";2019;23;358
"85P";2019;24;387
"85P";2019;25;364
"85P";2019;26;1799
"85P";2019;27;1060
"85P";2019;28;757
"85P";2019;29;597
"85P";2019;30;3642
"85P";2019;31;724
"85P";2019;32;568
"85P";2019;33;-23
"85P";2019;34;375
"85P";2019;35;1275
"85P";2019;36;-700
"85P";2019;37;-304
"85P";2019;38;-92
"85P";2019;39;352
"85P";2019;40;-93
"85P";2019;41;685
"85P";2019;42;469
"85P";2019;43;187
"85P";2019;44;248
"85P";2019;45;170
"85P";2019;46;579
"85P";2019;47;1024
"85P";2019;48;524
"85P";2019;49;299
"85P";2019;50;610
"85P";2019;51;1206
"85P";2019;52;247
"85P";2020;0;0
"85P";2020;1;1695
"85P";2020;2;2810
"85P";2020;3;1867
"85P";2020;4;945
